Iteration,Discriminator Loss,Generator Loss
9640,0.477132,1.808314
9650,0.419791,1.490275
9660,0.501755,1.784667
9670,0.474328,1.932510
9680,0.547798,1.745747
9690,0.569393,1.528183
9700,0.519495,1.749326
9710,0.476184,1.938683
9720,0.503773,1.763525
9730,0.531683,1.769429
9740,0.484009,1.429862
9750,0.510859,1.711724
9760,0.424169,1.817013
9770,0.518799,1.832178
9780,0.439765,1.804407
9790,0.582934,1.555970
9800,0.519156,1.729115
9810,0.494510,1.690435
9820,0.515591,1.733558
9830,0.533037,1.306787
9840,0.421157,1.787263
9850,0.420540,1.928042
9860,0.452310,1.463078
9870,0.522082,1.645544
9880,0.529866,1.433854
9890,0.582943,1.436664
9900,0.532303,1.616505
9910,0.571716,1.441054
9920,0.489467,1.795870
9930,0.604073,1.614553
9940,0.488686,1.699529
9950,0.567870,1.589096
9960,0.487499,1.855263
9970,0.532672,1.727530
9980,0.549344,1.718388
9990,0.487413,1.780769
10000,0.578928,1.587604
